Crop,Variety,Duration (Days),Yield (q/ha),Special Features
Wheat,HD-2967,140-150,55-60,High protein and resistance to rust
Wheat,PBW-343,135-145,50-55,Good for chapatti making
Rice,Basmati-370,145-155,25-30,Highly aromatic and long grain
Rice,PR-126,120-125,30-35,Short duration and high yielding
Maize,PMH-1,95-100,60-70,Hybrid variety with high starch content
Cotton,BT-Cotton,160-180,20-25,Resistance to bollworm
Sugarcane,CO-0238,300-360,800-900,High sugar recovery
Tomato,Pusa Ruby,60-70,300-400,Early maturing and prolific bearer
Potato,Kufri Jyoti,90-100,200-250,Resistance to late blight
Soybean,JS-335,95-105,25-30,Adaptable to various soils
Chickpea,GNG-1581,140-150,15-20,Bold seeded and wilt resistant
Lentil,L-4076,125-135,12-15,Small seeded and high protein
Mustard,Pusa Bold,110-120,15-20,High oil content
Sunflower,DRSH-1,90-100,15-20,Short duration hybrid
Groundnut,GG-20,115-125,20-25,High oil and protein
Moong,SML-668,60-70,10-12,Short duration and disease resistant
Urad,IPU-94-1,75-85,10-12,Resistance to yellow mosaic virus
Arhar,UPAS-120,120-130,15-20,Early maturing variety
Guava,Allahabad Safeda,120-130,50-60,Large fruit and few seeds
Mango,Amrapali,120-140,40-50,Dwarf variety suitable for high density
Pomegranate,Bhagwa,180-210,15-20,Glossy red fruit with soft seeds
Cauliflower,Pusa Katki,100-110,150-200,Early maturing variety
Cabbage,Golden Acre,60-70,250-300,Small round heads and early harvesting
Carrot,Pusa Rudhira,90-100,300-400,Deep red color and high carotene content
Radish,Pusa Chetki,40-50,200-250,Suitable for summer harvest
Onion,Agrifound Dark Red,100-110,300-350,Good for storage and high pungency
Garlic,G-282,140-150,150-200,Large cloves and easy to peel
Chili,Pusa Jwala,120-130,100-150,High spiciness and resistance to leaf curl
Brinjal,Pusa Purple Long,70-80,250-300,Early maturing and elongated fruit
Okra,Arka Anamika,90-100,150-200,Resistance to yellow vein mosaic virus
Cucumber,Pointset,60-70,100-150,Good quality fruit and early bearing
Bottle Gourd,Pusa Naveen,70-80,300-400,Compact fruit and prolific bearer
Pumpkin,Arka Suryamukhi,90-100,200-250,Small fruit and good for local markets
Bitter Gourd,Pusa Do Mousami,60-70,100-150,High yielding and medium sized fruit
Watermelon,Sugar Baby,80-90,400-500,Very sweet and small fruit
Muskmelon,Pusa Madhuras,90-100,200-250,High sugar content and aromatic
Spinach,Pusa All Green,40-50,150-200,Tender leaves and high iron content
Coriander,Pusa Selection-360,90-100,15-20,Long seeds and high essential oil
Fenugreek,Pusa Early Bunching,30-40,100-150,Quick growing and nutritious
Turmeric,Pratibha,210-240,300-350,High curcumin content
Ginger,IISR Varada,200-210,200-250,Low fiber and high pungency
Black Pepper,Panniyur-1,May-Jan,2000-3000 kg,Early bearing and high yield
Cardamom,IISR Avinash,Aug-Feb,500-700 kg,Drought tolerant variety
Cinnamon,PPI-1,Periodic,200-300 kg,High oil content in bark and leaves
Clove,IISR Amrit,Periodic,2-3 kg/tree,Highly aromatic buds
Nutmeg,Konkan Sanyukta,Periodic,500-1000 fruits/tree,Large size and good quality mace
Coconut,West Coast Tall,180-210,80-100 nuts/tree,Long life and high oil content
Cashew,Vengurla-4,Feb-May,15-20 kg/tree,Large nuts and high kernel weight
Rubber,RRII 105,Periodic,2000-2500 kg/ha,High latex yield
Tea,TV-1,Periodic,2000-3000 kg/ha,Good quality tea leaves
Coffee,Arka-1,Periodic,1500-2000 kg/ha,Disease resistant Arabica variety
